policy,param,value,scenario,seed,mean_reward,sla_violation_rate,embb_goodput_mbps,urllc_rtt_p95_ms,guardrail_intervention_rate,decision_latency_mean_ms
linucb,policy.linucb.alpha,0.0,adversarial,100,0.13912215360389193,0.003703703703703704,3.3811043582193463,5.68241230099818,0.025925925925925925,0.2430577777777768
linucb,policy.linucb.alpha,0.0,adversarial,101,0.1361686652307608,0.003703703703703704,3.3741902960157866,5.5467715377894065,0.014814814814814815,0.23288259259262034
linucb,policy.linucb.alpha,0.0,adversarial,102,0.11947159615497263,0.003703703703703704,3.361430520140127,5.549141233947949,0.022222222222222223,0.14572111111112102
linucb,policy.linucb.alpha,0.0,adversarial,103,0.14963513327272052,0.007407407407407408,3.5240474949857115,5.408456101964946,0.05925925925925926,0.10727000000001896
linucb,policy.linucb.alpha,0.0,adversarial,104,0.10938833536040575,0.011111111111111112,3.3888497169397325,5.66213643155963,0.11851851851851852,0.12150999999999751
linucb,policy.linucb.alpha,0.0,burst,100,0.17434184744931305,0.0,2.523498674277311,3.3466222675955173,0.0,0.13017148148155083
linucb,policy.linucb.alpha,0.0,burst,101,0.16947671847420237,0.0,2.5240323162549756,3.398951992675208,0.0,0.11599370370367294
linucb,policy.linucb.alpha,0.0,burst,102,0.176344079266394,0.0,2.5589495241613953,3.3812711446845873,0.0,0.13630592592595767
linucb,policy.linucb.alpha,0.0,burst,103,0.1673181286559013,0.0,2.49199166787212,3.393844065322645,0.0,0.105711111111025
linucb,policy.linucb.alpha,0.0,burst,104,0.17529527713388932,0.0,2.5224934384299162,3.381765745758734,0.0,0.11888518518523325
linucb,policy.linucb.alpha,0.0,ramp,100,0.257929691762262,0.0,2.7817871457005228,2.5150540331014475,0.0,0.12685037037039296
linucb,policy.linucb.alpha,0.0,ramp,101,0.255236685973193,0.0,2.7207794969766455,2.521026851154934,0.0,0.12037629629616396
linucb,policy.linucb.alpha,0.0,ramp,102,0.25098297902464634,0.0,2.7329920759645514,2.5350717484516005,0.0,0.11230851851848911
linucb,policy.linucb.alpha,0.0,ramp,103,0.2561212454598198,0.0,2.7388228078915007,2.5711475242716606,0.0,0.10642370370376063
linucb,policy.linucb.alpha,0.0,ramp,104,0.2520536330354887,0.0,2.711970038748047,2.5155041478235605,0.0,0.1325059259261568
linucb,policy.linucb.alpha,0.0,sawtooth,100,0.1670742265227904,0.0,1.9922297255918575,2.0,0.0,0.12110222222227031
linucb,policy.linucb.alpha,0.0,sawtooth,101,0.17399408857848844,0.0,1.9941276136904849,2.0,0.0,0.19860333333315128
