policy,baseline,scenario,metric,n_paired,mean_delta,ci95_half,ci95_lo,ci95_hi,separated_from_zero
epsilon_greedy,static_equal,adversarial,urllc_rtt_p50_ms,10,0.46835783029341826,0.20935818985441132,0.2589996404390069,0.6777160201478296,True
epsilon_greedy,static_equal,adversarial,urllc_rtt_p95_ms,10,3.565501865687218,1.1088701827501444,2.456631682937074,4.6743720484373625,True
epsilon_greedy,static_equal,adversarial,urllc_rtt_p99_ms,10,6.408908683096934,0.7970050241103437,5.6119036589865905,7.205913707207277,True
epsilon_greedy,static_equal,adversarial,sla_violation_rate,10,0.05814814814814815,0.001279815608971045,0.056868332539177106,0.059427963757119194,True
epsilon_greedy,static_equal,adversarial,embb_goodput_mbps,10,1.1991140915579168,0.1325664142905691,1.0665476772673477,1.331680505848486,True
epsilon_greedy,static_equal,adversarial,be_goodput_mbps,10,-0.19712482880780552,0.06868958581230716,-0.2658144146201127,-0.12843524299549836,True
epsilon_greedy,static_equal,adversarial,total_drops,10,-22526.0,1714.5627868506635,-24240.562786850664,-20811.437213149336,True
epsilon_greedy,static_equal,adversarial,guardrail_intervention_rate,10,0.2325925925925926,0.004639725597687639,0.22795286699490497,0.23723231819028023,True
epsilon_greedy,static_equal,adversarial,decision_latency_mean_ms,10,0.03961651852118024,0.0018657705296812484,0.037750747991498995,0.04148228905086149,True
epsilon_greedy,static_equal,adversarial,decision_latency_p99_ms,10,0.09237369999317127,0.020159924264446207,0.07221377572872506,0.11253362425761748,True
epsilon_greedy,static_equal,adversarial,mean_reward,10,-0.013020167563572254,0.01094063955939813,-0.023960807122970385,-0.0020795280041741235,True
epsilon_greedy,static_equal,adversarial,link_util_mean,10,0.10019898662790538,0.007597591973226108,0.09260139465467927,0.1077965786011315,True
epsilon_greedy_pretrained,static_equal,adversarial,urllc_rtt_p50_ms,10,0.7602816334355003,0.014609224801717577,0.7456724086337827,0.7748908582372178,True
epsilon_greedy_pretrained,static_equal,adversarial,urllc_rtt_p95_ms,10,5.85362321232915,0.6474024488686044,5.2062207634605455,6.501025661197754,True
epsilon_greedy_pretrained,static_equal,adversarial,urllc_rtt_p99_ms,10,7.438820970463752,0.2777448397160212,7.16107613074773,7.716565810179773,True
epsilon_greedy_pretrained,static_equal,adversarial,sla_violation_rate,10,0.057777777777777775,0.002234229296646025,0.05554354848113175,0.0600120070744238,True
epsilon_greedy_pretrained,static_equal,adversarial,embb_goodput_mbps,10,1.3875301384611574,0.019201153398680056,1.3683289850624774,1.4067312918598374,True
epsilon_greedy_pretrained,static_equal,adversarial,be_goodput_mbps,10,-0.30565415040079713,0.024542544721609036,-0.3301966951224062,-0.2811116056791881,True
epsilon_greedy_pretrained,static_equal,adversarial,total_drops,10,-24329.3,798.723886352865,-25128.023886352865,-23530.576113647134,True
epsilon_greedy_pretrained,static_equal,adversarial,guardrail_intervention_rate,10,0.2333333333333333,0.00514964408205356,0.22818368925127974,0.23848297741538688,True
epsilon_greedy_pretrained,static_equal,adversarial,decision_latency_mean_ms,10,0.041567296299101844,0.0024907530024021332,0.03907654329669971,0.044058049301503976,True
epsilon_greedy_pretrained,static_equal,adversarial,decision_latency_p99_ms,10,0.11831189999866258,0.049967724120779156,0.06834417587788343,0.16827962411944175,True
epsilon_greedy_pretrained,static_equal,adversarial,mean_reward,10,-0.013570348701307444,0.010980345825434563,-0.02455069452674201,-0.0025900028758728804,True
epsilon_greedy_pretrained,static_equal,adversarial,link_util_mean,10,0.10818758488206659,0.003522084801175042,0.10466550008089155,0.11170966968324163,True
linucb,static_equal,adversarial,urllc_rtt_p50_ms,10,0.16691185022027416,0.20274839800710948,-0.035836547786835315,0.36966024822738364,False
linucb,static_equal,adversarial,urllc_rtt_p95_ms,10,-0.07097550110528088,0.1725991946620038,-0.2435746957672847,0.10162369355672292,False
linucb,static_equal,adversarial,urllc_rtt_p99_ms,10,4.3210802452754375,0.9724545271227212,3.348625718152716,5.293534772398159,True
linucb,static_equal,adversarial,sla_violation_rate,10,0.03666666666666667,0.003839446826913133,0.032827219839753535,0.0405061134935798,True
linucb,static_equal,adversarial,embb_goodput_mbps,10,0.9960037974277249,0.18578146893646744,0.8102223284912575,1.1817852663641923,True
linucb,static_equal,adversarial,be_goodput_mbps,10,-0.08600580156202038,0.08008838530540263,-0.166094186867423,-0.00591741625661775,True
linucb,static_equal,adversarial,total_drops,10,-20458.2,2619.3450788495575,-23077.54507884956,-17838.854921150443,True
linucb,static_equal,adversarial,guardrail_intervention_rate,10,0.15074074074074076,0.016571841382918798,0.13416889935782195,0.16731258212365957,True
linucb,static_equal,adversarial,decision_latency_mean_ms,10,0.06971296296350546,0.0011174033349134237,0.06859555962859204,0.07083036629841888,True
linucb,static_equal,adversarial,decision_latency_p99_ms,10,0.1471316999907764,0.01707723784832833,0.1300544621424481,0.16420893783910473,True
linucb,static_equal,adversarial,mean_reward,10,0.04231660011995775,0.017651324570903522,0.024665275549054226,0.05996792469086127,True
linucb,static_equal,adversarial,link_util_mean,10,0.09099990369417785,0.011661401912106855,0.079338501782071,0.1026613056062847,True
linucb_pretrained,static_equal,adversarial,urllc_rtt_p50_ms,10,0.11232485466060713,0.030898070842631256,0.08142678381797587,0.1432229255032384,True
linucb_pretrained,static_equal,adversarial,urllc_rtt_p95_ms,10,-0.2705402138828415,0.18661897721900095,-0.45715919110184244,-0.08392123666384055,True
linucb_pretrained,static_equal,adversarial,urllc_rtt_p99_ms,10,3.122374743967822,1.0827984671359905,2.0395762768318315,4.205173211103813,True
linucb_pretrained,static_equal,adversarial,sla_violation_rate,10,0.023703703703703706,0.004706487670289468,0.018997216033414237,0.028410191373993175,True
linucb_pretrained,static_equal,adversarial,embb_goodput_mbps,10,1.2046080170952878,0.017102854562832802,1.1875051625324549,1.2217108716581206,True
linucb_pretrained,static_equal,adversarial,be_goodput_mbps,10,-0.09276055847618773,0.015744018197226033,-0.10850457667341376,-0.07701654027896171,True
linucb_pretrained,static_equal,adversarial,total_drops,10,-25009.7,417.57730769465064,-25427.27730769465,-24592.12269230535,True
linucb_pretrained,static_equal,adversarial,guardrail_intervention_rate,10,0.09481481481481482,0.01882595068115787,0.07598886413365695,0.1136407654959727,True
linucb_pretrained,static_equal,adversarial,decision_latency_mean_ms,10,0.0759342962977192,0.0021236653032938118,0.07381063099442538,0.07805796160101301,True
linucb_pretrained,static_equal,adversarial,decision_latency_p99_ms,10,0.17046100000777292,0.03487664647932268,0.13558435352845025,0.2053376464870956,True
linucb_pretrained,static_equal,adversarial,mean_reward,10,0.1103735660757799,0.011772071449235609,0.0986014946265443,0.1221456375250155,True
linucb_pretrained,static_equal,adversarial,link_util_mean,10,0.1111847808641293,0.001813946370295445,0.10937083449383386,0.11299872723442475,True
oracle,static_equal,adversarial,urllc_rtt_p50_ms,10,0.8344403182041876,0.031296058515690076,0.8031442596884976,0.8657363767198777,True
oracle,static_equal,adversarial,urllc_rtt_p95_ms,10,-0.018524556693063764,0.08753753246859618,-0.10606208916165993,0.06901297577553242,False
oracle,static_equal,adversarial,urllc_rtt_p99_ms,10,-0.052618741998155374,0.1168768586805575,-0.1694956006787129,0.06425811668240212,False
oracle,static_equal,adversarial,sla_violation_rate,10,-0.0003703703703703704,0.0008378359862422591,-0.0012082063566126295,0.00046746561587188867,False
oracle,static_equal,adversarial,embb_goodput_mbps,10,1.7497573108384727,0.03908616980291146,1.7106711410355613,1.7888434806413842,True
oracle,static_equal,adversarial,be_goodput_mbps,10,-0.30528486254382986,0.027816732968307233,-0.3331015955121371,-0.27746812957552264,True
oracle,static_equal,adversarial,total_drops,10,-32487.6,723.1390860909398,-33210.739086090936,-31764.460913909057,True
oracle,static_equal,adversarial,guardrail_intervention_rate,10,0.0325925925925926,0.008074969562435669,0.024517623030156928,0.040667562155028265,True
oracle,static_equal,adversarial,decision_latency_mean_ms,10,0.00806518518675398,0.0009581786499120869,0.007107006536841893,0.009023363836666066,True
oracle,static_equal,adversarial,decision_latency_p99_ms,10,0.03629989997880399,0.006855712780437112,0.029444187198366882,0.0431556127592411,True
oracle,static_equal,adversarial,mean_reward,10,0.23916420404757427,0.005393451624514383,0.2337707524230599,0.24455765567208865,True
oracle,static_equal,adversarial,link_util_mean,10,0.14444723090549488,0.003231911180963825,0.14121531972453105,0.14767914208645871,True
static_safe,static_equal,adversarial,urllc_rtt_p50_ms,10,0.0,0.0,0.0,0.0,False
static_safe,static_equal,adversarial,urllc_rtt_p95_ms,10,-2.740412357906047,0.27312600004773957,-3.0135383579537867,-2.4672863578583075,True
static_safe,static_equal,adversarial,urllc_rtt_p99_ms,10,-2.498381593144,0.1978760737300386,-2.6962576668740383,-2.3005055194139614,True
static_safe,static_equal,adversarial,sla_violation_rate,10,-0.0003703703703703704,0.0008378359862422591,-0.0012082063566126295,0.00046746561587188867,False
static_safe,static_equal,adversarial,embb_goodput_mbps,10,-1.379021689573673,0.003943775650635906,-1.382965465224309,-1.3750779139230371,True
static_safe,static_equal,adversarial,be_goodput_mbps,10,0.04345773152029322,0.007297329697636575,0.036160401822656646,0.05075506121792979,True
static_safe,static_equal,adversarial,total_drops,10,30049.8,206.73080235941976,29843.06919764058,30256.53080235942,True
static_safe,static_equal,adversarial,guardrail_intervention_rate,10,-0.0014814814814814816,0.0033513439449690363,-0.004832825426450518,0.0018698624634875547,False
static_safe,static_equal,adversarial,decision_latency_mean_ms,10,-0.0006591851821579752,0.0008276421254987541,-0.0014868273076567293,0.00016845694334077896,False
static_safe,static_equal,adversarial,decision_latency_p99_ms,10,-0.004233199999520224,0.004357157045810115,-0.00859035704533034,0.00012395704628989038,False
static_safe,static_equal,adversarial,mean_reward,10,-0.189803068769219,0.0023742916261866886,-0.1921773603954057,-0.18742877714303233,True
static_safe,static_equal,adversarial,link_util_mean,10,-0.13355639580533799,0.0009179444766287282,-0.13447434028196673,-0.13263845132870924,True
threshold,static_equal,adversarial,urllc_rtt_p50_ms,10,0.7452830774511938,0.011486736971816033,0.7337963404793778,0.7567698144230098,True
threshold,static_equal,adversarial,urllc_rtt_p95_ms,10,-1.3089990890794325,0.23659198074156895,-1.5455910698210014,-1.0724071083378637,True
threshold,static_equal,adversarial,urllc_rtt_p99_ms,10,6.922030539954337,0.4246063041802153,6.497424235774122,7.346636844134552,True
threshold,static_equal,adversarial,sla_violation_rate,10,0.029629629629629627,0.0012489721461555127,0.028380657483474115,0.03087860177578514,True
threshold,static_equal,adversarial,embb_goodput_mbps,10,1.5573785472381083,0.01719103213145118,1.540187515106657,1.5745695793695595,True
threshold,static_equal,adversarial,be_goodput_mbps,10,-0.28450230236087426,0.025326112530001846,-0.3098284148908761,-0.2591761898308724,True
threshold,static_equal,adversarial,total_drops,10,-28626.6,553.1599212396469,-29179.759921239645,-28073.44007876035,True
threshold,static_equal,adversarial,guardrail_intervention_rate,10,0.02814814814814815,0.003351343944969036,0.024796804203179115,0.031499492093117185,True
threshold,static_equal,adversarial,decision_latency_mean_ms,10,0.01681588889141955,0.0012078123870351827,0.015608076504384368,0.018023701278454735,True
threshold,static_equal,adversarial,decision_latency_p99_ms,10,0.031055500007365584,0.013826502146951474,0.01722899786041411,0.044882002154317056,True
