policy,param,value,scenario,seed,mean_reward,sla_violation_rate,embb_goodput_mbps,urllc_rtt_p95_ms,guardrail_intervention_rate,decision_latency_mean_ms
epsilon_greedy,policy.epsilon_greedy.epsilon,0.0,adversarial,100,0.12490156751318922,0.05925925925925926,4.712584261875794,10.795260323503822,0.24074074074074073,0.09466370370368399
epsilon_greedy,policy.epsilon_greedy.epsilon,0.0,adversarial,101,0.1065553108766116,0.05925925925925926,4.150293032954186,7.1827764085017,0.23703703703703705,0.10604703703701795
epsilon_greedy,policy.epsilon_greedy.epsilon,0.0,adversarial,102,0.14734325533304926,0.05555555555555555,4.805071688078478,9.244905393214601,0.22592592592592592,0.0857637037036867
epsilon_greedy,policy.epsilon_greedy.epsilon,0.0,adversarial,103,0.12042064771121948,0.05925925925925926,4.549973095917322,8.188157424472305,0.24074074074074073,0.07905814814819881
epsilon_greedy,policy.epsilon_greedy.epsilon,0.0,adversarial,104,0.10372666439655161,0.05925925925925926,4.70094943279615,12.065695496425729,0.23703703703703705,0.0825711111110426
epsilon_greedy,policy.epsilon_greedy.epsilon,0.0,burst,100,0.14962978759171983,0.014814814814814815,2.8193846746359235,5.381490095456207,0.4740740740740741,0.11474296296307943
epsilon_greedy,policy.epsilon_greedy.epsilon,0.0,burst,101,0.17593801930318803,0.007407407407407408,2.897863638011131,5.362944646058429,0.4962962962962963,0.1036796296297382
epsilon_greedy,policy.epsilon_greedy.epsilon,0.0,burst,102,0.16621305866037672,0.007407407407407408,2.630900558964616,3.419103179361459,0.02962962962962963,0.11633296296289673
epsilon_greedy,policy.epsilon_greedy.epsilon,0.0,burst,103,0.1576658556639296,0.011111111111111112,2.843395862602228,5.44719207955577,0.45185185185185184,0.08098814814802219
epsilon_greedy,policy.epsilon_greedy.epsilon,0.0,burst,104,0.16484770564240853,0.007407407407407408,2.6306685404624606,4.672276369863471,0.037037037037037035,0.08630814814813816
epsilon_greedy,policy.epsilon_greedy.epsilon,0.0,ramp,100,0.3309936656474803,0.003703703703703704,3.3629966198508168,4.138507249846417,0.014814814814814815,0.07866851851846998
epsilon_greedy,policy.epsilon_greedy.epsilon,0.0,ramp,101,0.33868166241175873,0.0,3.3847444541442777,5.403926176618802,0.22962962962962963,0.0802600000000624
epsilon_greedy,policy.epsilon_greedy.epsilon,0.0,ramp,102,0.3245071440710882,0.003703703703703704,3.331603302361399,4.149126364202632,0.014814814814814815,0.11257925925894631
epsilon_greedy,policy.epsilon_greedy.epsilon,0.0,ramp,103,0.3395117451818263,0.0,3.3577159349810306,4.185182660025041,0.0,0.08831518518548435
epsilon_greedy,policy.epsilon_greedy.epsilon,0.0,ramp,104,0.2862835223159981,0.0,3.193149730693467,5.744289508177846,0.31851851851851853,0.10570703703696911
epsilon_greedy,policy.epsilon_greedy.epsilon,0.0,sawtooth,100,0.2915240421428594,0.02962962962962963,3.4727961546494024,5.349818585273685,0.3,0.07998407407396468
epsilon_greedy,policy.epsilon_greedy.epsilon,0.0,sawtooth,101,0.3739124202675213,0.003703703703703704,3.545094838575531,5.369310056701865,0.3148148148148148,0.08348666666659323
epsilon_greedy,policy.epsilon_greedy.epsilon,0.0,sawtooth,102,0.2725490007478277,0.037037037037037035,3.4598672104178845,5.4756529317695675,0.3037037037037037,0.07602703703681797
epsilon_greedy,policy.epsilon_greedy.epsilon,0.0,sawtooth,103,0.3479842961300582,0.014814814814814815,3.553807825347805,5.299961310341478,0.32592592592592595,0.08304851851885128
epsilon_greedy,policy.epsilon_greedy.epsilon,0.0,sawtooth,104,0.3455334214597249,0.011111111111111112,3.4543920680471287,5.273878646583971,0.04814814814814815,0.10797407407428784
epsilon_greedy,policy.epsilon_greedy.epsilon,0.02,adversarial,100,0.12455488158934519,0.05925925925925926,4.710106843365726,10.795260323503822,0.24074074074074073,0.0892481481480866
epsilon_greedy,policy.epsilon_greedy.epsilon,0.02,adversarial,101,0.1229642427419774,0.05555555555555555,4.189742764753394,7.090228009197604,0.2222222222222222,0.07825148148152004
epsilon_greedy,policy.epsilon_greedy.epsilon,0.02,adversarial,102,0.1774968234254852,0.04814814814814815,4.665466318542617,6.794801332769166,0.22592592592592592,0.07130259259266448
epsilon_greedy,policy.epsilon_greedy.epsilon,0.02,adversarial,103,0.10604639232406288,0.05555555555555555,4.144904515608289,7.197943801613611,0.2222222222222222,0.08446444444440242
epsilon_greedy,policy.epsilon_greedy.epsilon,0.02,adversarial,104,0.07449519581422497,0.05925925925925926,4.47926829147611,12.065695496425729,0.23703703703703705,0.07375925925943408
epsilon_greedy,policy.epsilon_greedy.epsilon,0.02,burst,100,0.1550928412588424,0.014814814814814815,2.834195370758436,5.316170812956744,0.4888888888888889,0.08241888888915339
epsilon_greedy,policy.epsilon_greedy.epsilon,0.02,burst,101,0.17412598738229468,0.007407407407407408,2.8937600525158724,5.376827532283852,0.4888888888888889,0.09749407407410983
epsilon_greedy,policy.epsilon_greedy.epsilon,0.02,burst,102,0.1772510254621459,0.003703703703703704,2.663208545679915,3.4751539887667686,0.018518518518518517,0.08062592592563289
epsilon_greedy,policy.epsilon_greedy.epsilon,0.02,burst,103,0.11755380757845388,0.022222222222222223,2.746681642046215,5.81283532552459,0.42592592592592593,0.17280148148180977
epsilon_greedy,policy.epsilon_greedy.epsilon,0.02,burst,104,0.1536960969912502,0.011111111111111112,2.619402547075787,4.743338285699029,0.05185185185185185,0.11713777777810332
epsilon_greedy,policy.epsilon_greedy.epsilon,0.02,ramp,100,0.30996166808881576,0.003703703703703704,3.255664728260094,4.153589308148372,0.014814814814814815,0.16929259259270607
epsilon_greedy,policy.epsilon_greedy.epsilon,0.02,ramp,101,0.33775176489107245,0.0,3.382220778804068,5.413164874578355,0.22962962962962963,0.18597407407438762
epsilon_greedy,policy.epsilon_greedy.epsilon,0.02,ramp,102,0.32302632132867853,0.003703703703703704,3.322727621877029,4.149126364202632,0.014814814814814815,0.2199677777785201
epsilon_greedy,policy.epsilon_greedy.epsilon,0.02,ramp,103,0.33772842412173504,0.0,3.3512444323052772,4.210132437719075,0.022222222222222223,0.15042740740727611
epsilon_greedy,policy.epsilon_greedy.epsilon,0.02,ramp,104,0.28512779387805276,0.0,3.1808654861596697,5.721828177230151,0.32222222222222224,0.09641962963092544
epsilon_greedy,policy.epsilon_greedy.epsilon,0.02,sawtooth,100,0.2913676936069899,0.02962962962962963,3.4705626041369815,5.349818585273685,0.3,0.1262177777783159
epsilon_greedy,policy.epsilon_greedy.epsilon,0.02,sawtooth,101,0.3722027217683231,0.003703703703703704,3.5396355026921023,5.37641231022137,0.3111111111111111,0.1627362962949519
epsilon_greedy,policy.epsilon_greedy.epsilon,0.02,sawtooth,102,0.2923585815434732,0.02962962962962963,3.4272843488895752,5.424708838612243,0.21481481481481482,0.10386666666506615
epsilon_greedy,policy.epsilon_greedy.epsilon,0.02,sawtooth,103,0.36022553519134787,0.007407407407407408,3.4840164901540067,5.251001682316789,0.08888888888888889,0.1319970370355316
epsilon_greedy,policy.epsilon_greedy.epsilon,0.02,sawtooth,104,0.34391816507796424,0.011111111111111112,3.4429877917512064,5.273878646583971,0.05185185185185185,0.10292666666444987
epsilon_greedy,policy.epsilon_greedy.epsilon,0.05,adversarial,100,0.1414337835583761,0.05555555555555555,4.737936889354233,9.186495097107617,0.22592592592592592,0.16652074073998915
epsilon_greedy,policy.epsilon_greedy.epsilon,0.05,adversarial,101,0.12827837666794564,0.05555555555555555,4.340748801255066,7.090228009197604,0.2222222222222222,0.11773555555481396
epsilon_greedy,policy.epsilon_greedy.epsilon,0.05,adversarial,102,0.16281058391921116,0.05185185185185185,4.616935896746074,6.96788710638597,0.22592592592592592,0.11732185185303899
epsilon_greedy,policy.epsilon_greedy.epsilon,0.05,adversarial,103,0.14742853814344417,0.05555555555555555,4.516867527176689,8.280000789757217,0.22592592592592592,0.13066074074193543
epsilon_greedy,policy.epsilon_greedy.epsilon,0.05,adversarial,104,0.10544574779802966,0.05555555555555555,4.5840057901863664,9.735120072208195,0.21851851851851853,0.0942855555550708
epsilon_greedy,policy.epsilon_greedy.epsilon,0.05,burst,100,0.15374105608312144,0.014814814814814815,2.8290977852434036,5.298051043480596,0.48518518518518516,0.136812222223381
epsilon_greedy,policy.epsilon_greedy.epsilon,0.05,burst,101,0.14780145533941155,0.014814814814814815,2.8322172157196577,5.4765748050306495,0.46296296296296297,0.11552111111141299
epsilon_greedy,policy.epsilon_greedy.epsilon,0.05,burst,102,0.16425723801149733,0.007407407407407408,2.6449032128203007,3.495005497087214,0.02962962962962963,0.10763555555757665
epsilon_greedy,policy.epsilon_greedy.epsilon,0.05,burst,103,0.13946479205086884,0.014814814814814815,2.7850683082075482,5.593281431765842,0.4185185185185185,0.13588185184803311
epsilon_greedy,policy.epsilon_greedy.epsilon,0.05,burst,104,0.17304748183680882,0.007407407407407408,2.8106456915827303,5.300284302049581,0.03333333333333333,0.11295888888488055
epsilon_greedy,policy.epsilon_greedy.epsilon,0.05,ramp,100,0.25388940848296476,0.007407407407407408,2.938991856883881,3.705578042238882,0.02962962962962963,0.16074555555565825
epsilon_greedy,policy.epsilon_greedy.epsilon,0.05,ramp,101,0.3375335419150614,0.0,3.3728797777176305,4.2052511247589095,0.007407407407407408,0.15721851851969437
epsilon_greedy,policy.epsilon_greedy.epsilon,0.05,ramp,102,0.321749352552589,0.003703703703703704,3.3167609896786776,4.154889265669937,0.014814814814814815,0.22130629629604873
epsilon_greedy,policy.epsilon_greedy.epsilon,0.05,ramp,103,0.3344089806101906,0.0,3.3276601563871364,4.210132437719075,0.022222222222222223,0.2153181481467662
epsilon_greedy,policy.epsilon_greedy.epsilon,0.05,ramp,104,0.28547945146143117,0.0,3.182681956759374,5.710433192979659,0.3148148148148148,0.21370370370500832
epsilon_greedy,policy.epsilon_greedy.epsilon,0.05,sawtooth,100,0.290643724046303,0.02962962962962963,3.465745130752335,5.349818585273685,0.28888888888888886,0.20479148148208676
epsilon_greedy,policy.epsilon_greedy.epsilon,0.05,sawtooth,101,0.36472712559544274,0.003703703703703704,3.509075267220891,5.390638931991077,0.2962962962962963,0.22643888888983046
epsilon_greedy,policy.epsilon_greedy.epsilon,0.05,sawtooth,102,0.2885162919208636,0.02962962962962963,3.4466456494358138,5.455978301106596,0.22592592592592592,0.20153518518542216
epsilon_greedy,policy.epsilon_greedy.epsilon,0.05,sawtooth,103,0.36362126626138974,0.003703703703703704,3.4257030117260907,5.231385451009395,0.04814814814814815,0.2105888888868995
epsilon_greedy,policy.epsilon_greedy.epsilon,0.05,sawtooth,104,0.2808810268454995,0.011111111111111112,2.9475703603272194,3.360844917147977,0.044444444444444446,0.1872255555524673
epsilon_greedy,policy.epsilon_greedy.epsilon,0.1,adversarial,100,0.13640481302346202,0.05555555555555555,4.698149425206718,9.186495097107617,0.21851851851851853,0.20007148148082438
epsilon_greedy,policy.epsilon_greedy.epsilon,0.1,adversarial,101,0.11642230734334728,0.05555555555555555,4.15298582985288,7.1827764085017,0.21851851851851853,0.18571296296230416
epsilon_greedy,policy.epsilon_greedy.epsilon,0.1,adversarial,102,0.16409242520781553,0.04814814814814815,4.570186070595256,6.794801332769166,0.21851851851851853,0.20760555555436136
epsilon_greedy,policy.epsilon_greedy.epsilon,0.1,adversarial,103,0.1249985771698203,0.04814814814814815,4.101891126078134,6.797127975974298,0.18888888888888888,0.205581111108628
epsilon_greedy,policy.epsilon_greedy.epsilon,0.1,adversarial,104,0.06501842274857386,0.02962962962962963,3.451304394247606,5.530902583653915,0.11851851851851852,0.1845892592579427
epsilon_greedy,policy.epsilon_greedy.epsilon,0.1,burst,100,0.13945073533341493,0.018518518518518517,2.7931497067637907,5.345257848555838,0.45185185185185184,0.17932407407501902
epsilon_greedy,policy.epsilon_greedy.epsilon,0.1,burst,101,0.12541252584645096,0.022222222222222223,2.7702120766732734,5.376827532283852,0.18888888888888888,0.20431518518817196
epsilon_greedy,policy.epsilon_greedy.epsilon,0.1,burst,102,0.137083894115132,0.014814814814814815,2.604464182682417,3.5076582238431353,0.06296296296296296,0.18248703703399635
epsilon_greedy,policy.epsilon_greedy.epsilon,0.1,burst,103,0.13408330844200775,0.014814814814814815,2.766873164227861,6.475227763535611,0.4111111111111111,0.21955629629962492
epsilon_greedy,policy.epsilon_greedy.epsilon,0.1,burst,104,0.15161006806470997,0.011111111111111112,2.616002758453665,4.896048080913786,0.05185185185185185,0.1797996296292897
epsilon_greedy,policy.epsilon_greedy.epsilon,0.1,ramp,100,0.2665492554234496,0.011111111111111112,3.0706112357891975,4.223682746990761,0.04814814814814815,0.17928851852031114
epsilon_greedy,policy.epsilon_greedy.epsilon,0.1,ramp,101,0.334288670811065,0.0,3.3541391112830787,4.2102929312444175,0.014814814814814815,0.1873225925949016
epsilon_greedy,policy.epsilon_greedy.epsilon,0.1,ramp,102,0.3163702141032983,0.003703703703703704,3.291727442956165,4.1670844926429975,0.025925925925925925,0.21971999999718886
epsilon_greedy,policy.epsilon_greedy.epsilon,0.1,ramp,103,0.32823905604207704,0.0,3.2963328580416094,4.210132437719075,0.007407407407407408,0.09057296296667253
epsilon_greedy,policy.epsilon_greedy.epsilon,0.1,ramp,104,0.3086564540405612,0.003703703703703704,3.274724775464092,5.482948668486686,0.29259259259259257,0.10812148148244416
epsilon_greedy,policy.epsilon_greedy.epsilon,0.1,sawtooth,100,0.34883506032257955,0.007407407407407408,3.443412946284727,5.300167895106024,0.040740740740740744,0.08025777777776158
epsilon_greedy,policy.epsilon_greedy.epsilon,0.1,sawtooth,101,0.3375348684934653,0.011111111111111112,3.478668707506614,5.909736852756129,0.2777777777777778,0.07332222222657947
