policy,w_sla,w_drop,sla_violation_rate,embb_goodput_mbps,urllc_rtt_p95_ms
linucb,0.25,0.0,0.013271604938271592,3.490821674355305,5.368083376316466
linucb,0.25,0.5,0.016358024691358008,3.512528823055275,5.436875749793324
linucb,0.25,1.0,0.015740740740740725,3.5692917256811927,5.4216571773303714
linucb,0.5,0.0,0.01265432098765431,3.4891701394231256,5.303940618793265
linucb,0.5,0.5,0.015123456790123441,3.5236604792687545,5.359269492625596
linucb,0.5,1.0,0.016049382716049367,3.5436574784598682,5.380868407521518
linucb,1.0,0.0,0.009876543209876533,3.393273158616607,5.2750457406371885
linucb,1.0,0.5,0.014506172839506159,3.5060690391412526,5.28287235635175
linucb,1.0,1.0,0.016049382716049367,3.5205593295599713,5.253094833880951
linucb,2.0,0.0,0.008950617283950609,3.3480704191539536,5.0030753824069505
linucb,2.0,0.5,0.011728395061728382,3.423280986496613,5.068507770243569
linucb,2.0,1.0,0.014506172839506159,3.4866244806879023,5.139234840835628
linucb,4.0,0.0,0.006172839506172833,3.2325721626101385,4.916656562433124
linucb,4.0,0.5,0.009567901234567891,3.3183845272474843,4.9546086469179
linucb,4.0,1.0,0.010802469135802456,3.39479524622822,5.000022926075908
linucb_pretrained,0.25,0.0,0.006481481481481474,3.5601639247154586,5.273200532313575
linucb_pretrained,0.25,0.5,0.007098765432098759,3.600114728002119,5.242978545424562
linucb_pretrained,0.25,1.0,0.0074074074074074,3.7417388930810866,4.957542937629966
linucb_pretrained,0.5,0.0,0.0074074074074074,3.70631273321905,4.936765977704502
linucb_pretrained,0.5,0.5,0.0074074074074074,3.7107718705861,5.1774417997080056
linucb_pretrained,0.5,1.0,0.0074074074074074,3.739419716991758,4.951469854156588
linucb_pretrained,1.0,0.0,0.005246913580246908,3.5229926336296553,4.998868579155928
linucb_pretrained,1.0,0.5,0.006790123456790117,3.5952817538529405,4.9176973476193195
linucb_pretrained,1.0,1.0,0.007098765432098759,3.670659028007719,4.884091972244547
linucb_pretrained,2.0,0.0,0.005864197530864192,3.501956645303935,4.714608696511287
linucb_pretrained,2.0,0.5,0.0074074074074074,3.645258204570652,4.8659210112297675
linucb_pretrained,2.0,1.0,0.006481481481481474,3.5359729563428695,4.928695524397018
linucb_pretrained,4.0,0.0,0.00030864197530864164,3.1680835852427607,3.9949457816766696
linucb_pretrained,4.0,0.5,0.004320987654320984,3.4002433400068885,4.251042582690046
linucb_pretrained,4.0,1.0,0.006481481481481474,3.4774823019034353,4.690022509638134
static_equal,0.25,0.0,0.0,2.9899296257707313,3.7040816910160856
static_equal,0.25,0.5,0.0,2.9899296257707313,3.7040816910160856
static_equal,0.25,1.0,0.0,2.9899296257707313,3.7040816910160856
static_equal,0.5,0.0,0.0,2.9899296257707313,3.7040816910160856
static_equal,0.5,0.5,0.0,2.9899296257707313,3.7040816910160856
static_equal,0.5,1.0,0.0,2.9899296257707313,3.7040816910160856
static_equal,1.0,0.0,0.0,2.9899296257707313,3.7040816910160856
static_equal,1.0,0.5,0.0,2.9899296257707313,3.7040816910160856
static_equal,1.0,1.0,0.0,2.9899296257707313,3.7040816910160856
static_equal,2.0,0.0,0.0,2.9899296257707313,3.7040816910160856
static_equal,2.0,0.5,0.0,2.9899296257707313,3.7040816910160856
static_equal,2.0,1.0,0.0,2.9899296257707313,3.7040816910160856
static_equal,4.0,0.0,0.0,2.9899296257707313,3.7040816910160856
static_equal,4.0,0.5,0.0,2.9899296257707313,3.7040816910160856
static_equal,4.0,1.0,0.0,2.9899296257707313,3.7040816910160856
static_safe,0.25,0.0,0.0,1.9549028493322436,2.2650348694480353
static_safe,0.25,0.5,0.0,1.9549028493322436,2.2650348694480353
static_safe,0.25,1.0,0.0,1.9549028493322436,2.2650348694480353
static_safe,0.5,0.0,0.0,1.9549028493322436,2.2650348694480353
static_safe,0.5,0.5,0.0,1.9549028493322436,2.2650348694480353
static_safe,0.5,1.0,0.0,1.9549028493322436,2.2650348694480353
static_safe,1.0,0.0,0.0,1.9549028493322436,2.2650348694480353
static_safe,1.0,0.5,0.0,1.9549028493322436,2.2650348694480353
static_safe,1.0,1.0,0.0,1.9549028493322436,2.2650348694480353
static_safe,2.0,0.0,0.0,1.9549028493322436,2.2650348694480353
static_safe,2.0,0.5,0.0,1.9549028493322436,2.2650348694480353
static_safe,2.0,1.0,0.0,1.9549028493322436,2.2650348694480353
static_safe,4.0,0.0,0.0,1.9549028493322436,2.2650348694480353
static_safe,4.0,0.5,0.0,1.9549028493322436,2.2650348694480353
static_safe,4.0,1.0,0.0,1.9549028493322436,2.2650348694480353
threshold,0.25,0.0,0.015432098765432084,3.654947957825828,4.721864235658535
threshold,0.25,0.5,0.015432098765432084,3.654947957825828,4.721864235658535
threshold,0.25,1.0,0.015432098765432084,3.654947957825828,4.721864235658535
threshold,0.5,0.0,0.015432098765432084,3.654947957825828,4.721864235658535
threshold,0.5,0.5,0.015432098765432084,3.654947957825828,4.721864235658535
threshold,0.5,1.0,0.015432098765432084,3.654947957825828,4.721864235658535
threshold,1.0,0.0,0.015432098765432084,3.654947957825828,4.721864235658535
threshold,1.0,0.5,0.015432098765432084,3.654947957825828,4.721864235658535
threshold,1.0,1.0,0.015432098765432084,3.654947957825828,4.721864235658535
threshold,2.0,0.0,0.015432098765432084,3.654947957825828,4.721864235658535
threshold,2.0,0.5,0.015432098765432084,3.654947957825828,4.721864235658535
threshold,2.0,1.0,0.015432098765432084,3.654947957825828,4.721864235658535
threshold,4.0,0.0,0.015432098765432084,3.654947957825828,4.721864235658535
threshold,4.0,0.5,0.015432098765432084,3.654947957825828,4.721864235658535
threshold,4.0,1.0,0.015432098765432084,3.654947957825828,4.721864235658535
