value,n_runs,mean_reward,mean_reward_ci95,sla_violation_rate,sla_violation_rate_ci95,embb_goodput_mbps,embb_goodput_mbps_ci95,urllc_rtt_p95_ms,urllc_rtt_p95_ms_ci95,guardrail_intervention_rate,guardrail_intervention_rate_ci95,decision_latency_mean_ms,decision_latency_mean_ms_ci95
0.0,20,0.1820304435902656,0.021917696464520735,0.0014814814814814816,0.0014227337761505488,2.6654693232120223,0.24344942260157973,3.3704588563550004,0.6544038935608039,0.012037037037037037,0.013600822851302284,0.1427999259259102,0.019121682731266385
0.02,20,0.20282653064451156,0.02929296946824722,0.0012962962962962965,0.001617773272742105,2.811929804698482,0.18356298124318557,3.6784495063319227,0.613977455064392,0.0187037037037037,0.016333142923970468,0.13721661111108102,0.011905146774084914
0.05,20,0.22268427052484557,0.03555004911628381,0.0027777777777777775,0.0020948365891098413,3.0079027815334434,0.13109790524885254,4.1703046403972035,0.6124502265147764,0.03277777777777778,0.024721118842510013,0.12896388888891758,0.009257439423469705
0.1,20,0.22400095221514743,0.036655039923863854,0.006481481481481482,0.004994630225950219,3.0682023952559154,0.22218919300566944,3.9525472105099837,0.574291798385803,0.03351851851851852,0.02461341640053813,0.12243744444435098,0.009744298869714313
0.25,20,0.24953943211898175,0.03949939371267352,0.011851851851851853,0.0062775860727600505,3.378124614847983,0.252338222667774,4.926074902830868,0.2845508446103924,0.0712962962962963,0.026711062935172492,0.12170640740736063,0.006799551154453854
0.5,20,0.25433117425216395,0.03746720150051458,0.014814814814814817,0.00677201101825722,3.4872383086310044,0.2736039967422802,5.359183289895803,0.09880006098639134,0.152962962962963,0.03963556986393817,0.12564468518521438,0.009067372471864652
1.0,20,0.2515907945739408,0.03640531961350901,0.015000000000000005,0.007449742823045187,3.5039436372830357,0.3154524634427103,5.391382868542425,0.11856785168955321,0.20555555555555555,0.04163737713325933,0.12537801851836308,0.007262594464440533
2.0,20,0.2261882362627478,0.037096998508713515,0.01962962962962963,0.006389939938292754,3.4020514164517666,0.29358934710928747,5.4994479622094685,0.13312968080931234,0.22148148148148147,0.0314965672889975,0.12781583333309998,0.009706807307283032
