be_backlog_max_bytes,be_backlog_median_bytes,be_drops,be_goodput_l2_mbps,be_iperf_parse_ok,be_iperf_receiver_l2_mbps,be_iperf_sender_l2_mbps,be_offered_l2_mbps,embb_backlog_max_bytes,embb_backlog_median_bytes,embb_drops,embb_goodput_l2_mbps,embb_iperf_parse_ok,embb_iperf_receiver_l2_mbps,embb_iperf_sender_l2_mbps,embb_offered_l2_mbps,embb_share,level_index,link_util,position,repeat,urllc_backlog_max_bytes,urllc_backlog_median_bytes,urllc_drops,urllc_goodput_l2_mbps,urllc_iperf_parse_ok,urllc_iperf_receiver_l2_mbps,urllc_iperf_sender_l2_mbps,urllc_offered_l2_mbps,urllc_ping_delivered_pct,urllc_ping_effective_interval_s,urllc_ping_loss_pct_whole_run,urllc_rtt_p50_ms,urllc_rtt_p95_ms,urllc_rtt_p99_of_window_p95_ms,urllc_rtt_pooled_max_ms,urllc_rtt_pooled_p50_ms,urllc_rtt_pooled_p95_ms,urllc_rtt_pooled_p99_ms,urllc_rtt_windows_thin,urllc_rtt_windows_used,valid,window_s_nominal
62006,60564.0,11118,2.81939663067581,True,2.8223700030907324,4.0000011999968,4.0,62006,62006.0,55880,4.065653202205892,True,4.058400343929726,9.999931767006693,10.0,0.5,2,0.9900439011708169,0,0,5866,1442.0,0,3.015389178826466,True,2.999911761897417,3.000014183244688,3.0,100.0,0.05133959900984553,0.0427716,3.74,15.865,19.153199999999995,33.3,3.73,9.18299999999999,15.97800000000002,0,109,True,109.0
62006,60564.0,3418,3.6367652837234257,True,3.6333841932063833,3.999972333606769,4.0,62006,62006.0,63189,3.2831022970828365,True,3.2808366789242385,9.999954683455309,10.0,0.35,1,0.9935180447498793,1,0,2884,98.0,0,3.015312866692531,True,2.9999481847971126,3.000016158242982,3.0,100.0,0.05146333109279483,0.0,2.73,8.90159999999998,12.059280000000005,37.7,2.72,7.0544999999999956,10.182999999999993,0,109,True,109.0
57680,0.0,99,3.989466215952912,True,3.990419846294549,3.999990800048453,4.0,62006,62006.0,75404,1.9915468030278756,True,1.9921951338616093,9.999906850696293,10.0,0.2,0,0.899536474166971,2,0,5866,0.0,0,3.0143517226889225,True,2.9999934334197933,3.0000082582654093,3.0,100.0,0.05483959041532105,0.0,0.1125,12.33239999999997,19.838199999999997,36.1,0.116,2.472999999999997,12.812999999999988,0,109,True,109.0
62006,62006.0,20792,1.7913503294820663,True,1.7941102581768116,3.999984433440094,4.0,62006,62006.0,46277,5.083231494301089,True,5.07530519826581,9.999949683493925,10.0,0.8,4,0.9890418075069907,3,0,12978,2884.0,0,3.0158362512867516,True,2.9997244116775925,3.0000153332433785,3.0,100.0,0.05104120274617465,0.0,7.66,25.300999999999988,39.45519999999997,51.8,7.755,17.924999999999997,26.36000000000004,0,109,True,109.0
62006,62006.0,14518,2.4578461391581716,True,2.462446432546495,3.999973166926277,4.0,62006,62006.0,52541,4.418875509674163,True,4.4154488876912446,9.999943683546869,10.0,0.65,3,0.9892216716278546,4,0,7210,1442.0,0,3.0154950674462104,True,2.999877239704593,3.000021333250845,3.0,100.0,0.05116311783743554,0.0,4.5649999999999995,17.258000000000003,28.453599999999984,36.6,4.47,10.5,17.52600000000002,0,109,True,109.0
36050,0.0,0,3.9999998740516145,True,3.999938501127992,4.000001499996112,4.0,62006,62006.0,75292,1.9981400651498367,True,1.998281773696062,9.99990160078719,10.0,0.2,0,0.9012429387398884,5,1,11536,0.0,0,3.014289448197433,True,2.999988458504436,3.0000142332446122,3.0,100.0,0.05508562369242906,0.0,0.088,4.285399999999977,7.594719999999997,19.4,0.092,1.2114999999999987,3.7023,0,109,True,109.0
62006,60564.0,11255,2.8037123029615145,True,2.807656256310757,3.9999812668099755,4.0,62006,62006.0,55889,4.0598196228646755,True,4.070429649016056,9.999949266830706,10.0,0.5,2,0.9878633143609021,6,1,4326,1442.0,0,3.01510121778283,True,2.9998932383048693,3.000015808243094,3.0,100.0,0.051298080049928946,0.0,3.675,18.49,23.871599999999983,48.1,3.65,9.492499999999996,19.330999999999992,0,109,True,109.0
62006,60564.0,3364,3.642563917900921,True,3.639791560407131,3.9995699141911487,4.0,62006,62006.0,63361,3.2651165318532924,True,3.263782010613836,9.999893267609467,10.0,0.35,1,0.9922853011494517,7,1,4326,1442.0,0,3.015172561740305,True,2.9996801709452305,3.000010208256006,3.0,100.0,0.05150749508652563,0.0,2.575,10.538100000000004,20.257000000000005,29.5,2.64,6.915,10.56999999999998,0,109,True,109.0
62006,60564.0,14471,2.462183874361905,True,2.4731445312459353,3.9999990666696528,4.0,62006,62006.0,52407,4.43074074296564,True,4.429187102396355,9.999951350147164,10.0,0.65,3,0.990841728107148,8,1,8750,1442.0,0,3.0154926637439354,True,2.999931760634706,3.0000040832940655,3.0,100.0,0.05120712877216196,0.0,4.51,16.705999999999996,21.967999999999996,35.2,4.49,10.8,16.87199999999998,0,109,True,109.0
62006,62006.0,20682,1.8017604657535242,True,1.803330832708177,3.9998538391079066,4.0,62006,62006.0,46148,5.095369669652641,True,5.095207221098194,9.999190592891082,10.0,0.8,4,0.9912500006648955,9,1,13076,2884.0,0,3.015369871242792,True,2.999840268592083,2.9999532845736283,3.0,100.0,0.0509646640629427,0.0,7.77,21.08,31.416600000000006,39.5,7.825,17.3,23.115000000000055,0,109,True,109.0
