policy,scenario,seed,n_steps,urllc_rtt_p50_ms,urllc_rtt_p95_ms,urllc_rtt_p99_ms,sla_violation_rate,embb_goodput_mbps,be_goodput_mbps,total_drops,guardrail_intervention_rate,decision_latency_mean_ms,decision_latency_p99_ms,mean_reward,link_util_mean,run_id
epsilon_greedy,adversarial,0,270,2.5926581220482627,10.436825263073063,13.341687795496112,0.05925925925925926,4.668722494032099,3.182646852609727,103385,0.23703703703703705,0.06473925925947523,0.15664400000673595,0.13094041740904908,0.9591727016458842,epsilon_greedy_adversarial_0
epsilon_greedy,adversarial,1,270,2.75244145675724,10.976291525701162,13.298252358868007,0.05925925925925926,4.742949795007038,3.10704964476808,104699,0.23703703703703705,0.06281111111126876,0.17431500002089706,0.12995093068420308,0.9580040375889087,epsilon_greedy_adversarial_1
epsilon_greedy,adversarial,2,270,2.7575206849008254,10.666473218626207,13.287821574695615,0.05925925925925926,4.761109636972161,3.109029275561243,100652,0.23703703703703705,0.06023814814684382,0.11448099997949156,0.14525079329590487,0.96005594724092,epsilon_greedy_adversarial_2
epsilon_greedy,adversarial,3,270,2.1595444736186353,7.588257580100272,13.047073373380709,0.05925925925925926,4.44188983539171,3.235859941153227,108266,0.2222222222222222,0.05882037036839287,0.13857900000687096,0.10433229812592404,0.9416503380783333,epsilon_greedy_adversarial_3
epsilon_greedy,adversarial,4,270,2.3154170819599056,9.223154335378242,10.922447728765507,0.05925925925925926,4.45616460721115,3.2817581345338134,110122,0.23703703703703705,0.058081851862981294,0.11576499998909644,0.10485182404536493,0.9485324766263762,epsilon_greedy_adversarial_4
epsilon_greedy,adversarial,5,270,2.774690094101077,7.299460299841187,13.193641640507115,0.05555555555555555,4.729115607219194,3.139932182500069,106490,0.23333333333333334,0.06529629629691645,0.18087500001570334,0.14676491048872978,0.9612153844865408,epsilon_greedy_adversarial_5
epsilon_greedy,adversarial,6,270,2.417500280474047,8.67076082509117,11.523151762895354,0.05925925925925926,4.572436706299022,3.2786013777130525,105322,0.24074074074074073,0.06178148148339657,0.12766500000111589,0.1407163627878493,0.9589990616001361,epsilon_greedy_adversarial_6
epsilon_greedy,adversarial,7,270,2.736446610013202,10.774062242536301,13.438763577739214,0.05925925925925926,4.746331528034707,3.077716888940816,104198,0.23703703703703705,0.06073888888859405,0.10509099999694621,0.1304151171079556,0.9569041474543054,epsilon_greedy_adversarial_7
epsilon_greedy,adversarial,8,270,2.0,7.09043916009188,11.836059822180488,0.05555555555555555,4.193074082096008,3.370591801699794,109890,0.2222222222222222,0.059618888888137496,0.12090600000874473,0.11641683514075657,0.9305783401577273,epsilon_greedy_adversarial_8
epsilon_greedy,adversarial,9,270,2.1773594990609872,8.236457108999339,11.708018470963449,0.05925925925925926,4.4695635190528105,3.240080269288055,105819,0.23703703703703705,0.06172851851863045,0.13635700000065765,0.12972672657664128,0.9451500190847832,epsilon_greedy_adversarial_9
epsilon_greedy,burst,0,270,2.0,5.302281813140842,8.690320353194046,0.025925925925925925,2.757321942812752,3.552468155508912,86049,0.2740740740740741,0.06065814814804137,0.1543599999953927,0.11277227233774889,0.9301812437442138,epsilon_greedy_burst_0
epsilon_greedy,burst,1,270,2.0,5.347523444071471,6.7109037014292205,0.007407407407407408,2.8710421415314555,3.56385241875333,84102,0.45555555555555555,0.06424259259903109,0.22632499997371305,0.17404245113987596,0.9434790031401419,epsilon_greedy_burst_1
epsilon_greedy,burst,2,270,2.0,3.417798754598306,4.127748700929027,0.007407407407407408,2.633718634086214,3.7331983659859427,82739,0.03333333333333333,0.06038481481481081,0.12491599999985947,0.17216007117078683,0.9371047620893311,epsilon_greedy_burst_2
epsilon_greedy,burst,3,270,2.0,5.298560077864003,7.453305314906605,0.014814814814814815,2.8427311121322454,3.5567931883625175,84581,0.07037037037037037,0.05895962962971374,0.16030099999973402,0.15650098179925873,0.9398413273273301,epsilon_greedy_burst_3
epsilon_greedy,burst,4,270,2.0,3.4590927909672913,5.805451715549678,0.007407407407407408,2.637010813051879,3.7475758663994454,85836,0.025925925925925925,0.05913481481448559,0.12177399997085567,0.16358212981414205,0.9390411877393953,epsilon_greedy_burst_4
epsilon_greedy,burst,5,270,2.0,5.464461565134544,7.214319294090113,0.025925925925925925,2.761791318829945,3.5571771510778736,87108,0.42592592592592593,0.06017555555849357,0.15859700007467842,0.11329515184011611,0.9323192337690124,epsilon_greedy_burst_5
epsilon_greedy,burst,6,270,2.0,5.420322522889712,7.416758185999873,0.022222222222222223,2.7668307797671026,3.653278708132217,90386,0.1814814814814815,0.05801703703719829,0.09985500000162513,0.11805548165292634,0.9415644911779181,epsilon_greedy_burst_6
